lcns_no,addr
19870050155,"서울특별시 성북구 아리랑로 6-1(동선동4가, 13번지포함)"
19870066257,"서울특별시 서대문구 연희로 353(홍은동,지하1층)"
19870066276,서울특별시 서대문구 연희로 353(스위스그랜드호텔 홍은동)
19870086281,"서울특별시 영등포구 여의대로 128(여의도동,엘지트윈빌딩동관4층)"
19870098265,서울특별시 서초구 강남대로97길 10(잠원동)
19870105272,서울특별시 강남구 언주로133길 18(지상2층 논현동)
19870129051,부산광역시 동구 고관로 133-1(수정동)
19870141031,"부산광역시 해운대구 해운대해변로 296(중동, 지상3층)"
19870141033,"부산광역시 해운대구 해운대해변로 296(중동, 3층)"
19870141036,"부산광역시 해운대구 해운대해변로 296(중동, 1층)"
19870147016,부산광역시 금정구 금정로233번길 39(구서동)
19870150089,부산광역시 연제구 과정로 210(연산동)
19870154068,부산광역시 사상구 낙동대로 1564(삼락동)
19870255014,울산광역시 울주군 삼남면 중평로 33
19870297073,"경기도 부천시 원미구 부천로9번길 29(심곡동,지상2층)"
19870358025,경기도 이천시 설봉로55번길 8(1층 관고동)
19870417010,충청북도 청주시 상당구 상당로1번길 36(1층 석교동)
19870445022,충청북도 음성군 삼성면 중부고속도로 52
19870445023,충청북도 음성군 삼성면 중부고속도로 51
19870538007,경상북도 경주시 진현로2길 54(진현동)
19870571020,경상북도 예천군 예천읍 군청길 42-4
19880025118,서울특별시 종로구 삼일대로15길 26(1층 관철동)
19880029011,서울특별시 중구 퇴계로 103(충무로1가)
19880029507,"서울특별시 중구 소공로 119(태평로2가,2층)"
19880073139,서울특별시 양천구 목동중앙남로11길 4(1층 목동)
19880086407,"서울특별시 영등포구 여의대로 128(여의도동,LG트윈빌딩 동관4층)"
19880086414,서울특별시 영등포구 국회대로72길 17(KCC파크타운 301~311호 여의도동)
19880105272,서울특별시 강남구 선릉로127길 12(지상1층 논현동)
19880105421,서울특별시 강남구 언주로 833(가동 지상1층 신사동)
19880105625,"서울특별시 강남구 테헤란로 521(지상1층 삼성동, 인터콘티넨탈)"
19880105638,서울특별시 강남구 테헤란로 521(지상1층 삼성동)
19880271031,"경기도 수원시 장안구 송원로 2(2,3층 송죽동)"
19880277055,경기도 성남시 수정구 수정북로 80(2층 태평동)
19880513031,전남광주통합특별시 광양시 광양읍 서북2길 104
19880517002,전남광주통합특별시 구례군 마산면 화엄사로 381
19890025267,"서울특별시 종로구 세종대로 161(세종로,지상2층)"
19890025312,서울특별시 종로구 세종대로 161(세종로)
19890025405,서울특별시 종로구 수표로 106(낙원동)
19890033349,서울특별시 용산구 회나무로44길 10(이태원동)
19890066281,"서울특별시 서대문구 연세로9길 8(창천동, 2층)"
19890105631,서울특별시 강남구 언주로 640(1층 논현동)
19890114145,서울특별시 송파구 양재대로 932(가락동 농수산물도매시장 가락몰4관 2층 001-1호 가락동)
19890137003,부산광역시 남구 못골로 40-5(대연동)
19890188027,대구광역시 달성군 현풍읍 현풍중앙로14길 10-1(1층)
19890273002,경기도 수원시 권선구 세지로 65(세류동)
19890285024,경기도 의정부시 둔야로 45(의정부동)
19890397028,강원특별자치도 평창군 대관령면 올림픽로 715(타워콘도 2층)
19890589055,경상남도 창원시 의창구 북면 천주로 585(2층)
19890592117,"경상남도 창원시 성산구 중앙대로 69(중앙동,3층)"
19890595084,경상남도 창원시 마산합포구 산호북21길 11(산호동)
19890601209,"경상남도 진주시 촉석로190번길 9(대안동,번지2층)"
19890617030,경상남도 함안군 칠원읍 구성길 47
19890631044,제주특별자치도 서귀포시 중문관광로72번길 29-29(색달동)
19900029373,서울특별시 중구 퇴계로2길 1(남창동)
19900080295,서울특별시 구로구 개봉로20길 54(개봉동)
19900084162,서울특별시 금천구 독산로 70-1(지상1층 시흥동)
19900098377,서울특별시 서초구 서초중앙로5길 10-24(서초동)
19900105724,서울특별시 강남구 언주로172길 54(신사동)
19900114622,"서울특별시 송파구 중대로 314-1(오금동,1층)"
19900129064,부산광역시 동구 중앙대로221번길 7(초량동)
19900129133,부산광역시 동구 중앙대로180번길 12-10(초량동)
19900150128,"부산광역시 연제구 반송로 32-15(연산동,연산1동)"
19900202208,인천광역시 부평구 세월천로 45(청천동)
19900304090,경기도 광명시 시청로 122-1(철산동)
19900332078,경기도 남양주시 화도읍 경춘로창벌2길 34-24(청일빌딩 1층)
19900348027,경기도 용인시 처인구 남사면 전나무골길2번길 94(클럽하우스 3층)
19900417001,충청북도 청주시 상당구 상당로121번길 44(북문로2가)
19900459033,충청남도 보령시 해수욕장4길 142(신흑동)
19900492052,전북특별자치도 남원시 소리길 66(어현동)
19900516005,전남광주통합특별시 곡성군 옥과면 대학로 114
19900516012,전남광주통합특별시 곡성군 겸면 호남고속도로 50
19900571058,경상북도 예천군 용궁면 용궁로 84
19900571067,경상북도 예천군 예천읍 충효로 512-5
19900597004,경상남도 창원시 마산회원구 석전동6길 37(석전동)
19900625033,경상남도 합천군 야로면 시장길 6-11
19910029201,서울특별시 중구 세종대로 124(20층 태평로1가)
19910029707,서울특별시 중구 난계로 201(황학동 원할머니보쌈 사옥 2층 황학동)
19910066091,서울특별시 서대문구 홍은중앙로 103(홍은동)
19910086152,"서울특별시 영등포구 경인로 846(영등포동, 롯데백화점 지상10층)"
19910105119,서울특별시 강남구 봉은사로 478(삼성동)
19910105308,서울특별시 강남구 영동대로 221(지하1층 대치동)
19910114212,서울특별시 송파구 백제고분로 490(거보산업주 1층 방이동)
19910120092,서울특별시 강동구 풍성로 213(성내동)
19910152051,부산광역시 수영구 광안해변로 181(1~2층 광안동)
19910202097,인천광역시 부평구 마장로324번길 7(산곡동)
19910279064,경기도 성남시 중원구 산성대로372번길 5-3(1층 금광동)
19910292060,경기도 안양시 동안구 흥안대로 145(1층 호계동)
