addr,lat,lng
강원특별자치도 강릉시 경강로 2097 (임당동),37.754889,128.896073
강원특별자치도 강릉시 경강로 2107 (임당동),37.755714,128.896578
"강원특별자치도 강릉시 경강로 2266, 1층",37.765511,128.909825
"강원특별자치도 강릉시 경강로 2269, 1층(포남동)",37.766053,128.909870
강원특별자치도 강릉시 경강로 2306-1,37.767467,128.913710
강원특별자치도 강릉시 경강로 2379 (송정동),37.771262,128.920481
강원특별자치도 강릉시 경강로 2400 (송정동),37.771865,128.922966
강원특별자치도 강릉시 경강로 2403 (송정동),37.772440,128.922715
"강원특별자치도 강릉시 경강로 2511, 2동 1층 106호(송정동, 아이파크상가)",37.774999,128.935401
강원특별자치도 강릉시 경강로 2518 (송정동),37.773628,128.934306
강원특별자치도 강릉시 경강로 2613 (견소동),37.773052,128.945467
강원특별자치도 강릉시 경강로 2629,37.772139,128.946793
강원특별자치도 강릉시 경강로 2642 (견소동),37.771369,128.947105
강원특별자치도 강릉시 경강로 2668 (견소동),37.770609,128.950263
강원특별자치도 강릉시 경강로2024번길 17-1,37.751037,128.892444
강원특별자치도 강릉시 경강로2024번길 27,37.751580,128.893058
강원특별자치도 강릉시 경강로2046번길 11-2 (남문동),37.750790,128.893149
강원특별자치도 강릉시 경강로2069번길 15,37.754495,128.892819
강원특별자치도 강릉시 경강로2095번길 17,37.755965,128.895806
강원특별자치도 강릉시 경강로2095번길 17 (임당동),37.755965,128.895806
강원특별자치도 강릉시 경강로2095번길 7,37.755120,128.895481
강원특별자치도 강릉시 경강로2103번길 15 (임당동),37.756207,128.895614
강원특별자치도 강릉시 경강로2115번길 7,37.756354,128.897386
강원특별자치도 강릉시 경강로2234번길 6(포남동),37.763048,128.907652
강원특별자치도 강릉시 경강로2245번길 4,37.764688,128.907751
강원특별자치도 강릉시 경강로2246번길 3,37.764080,128.908458
강원특별자치도 강릉시 경강로2255번길 13,37.765846,128.907421
강원특별자치도 강릉시 경강로2255번길 20,37.766320,128.907409
강원특별자치도 강릉시 경강로2255번길 7(포남동),37.765432,128.908221
"강원특별자치도 강릉시 경강로2267번길 16, 1층 (포남동)",37.766782,128.908572
"강원특별자치도 강릉시 경강로2267번길 18 (포남동, 수계 상가아파트)",37.767024,128.908465
강원특별자치도 강릉시 경강로2267번길 20,37.767091,128.908171
강원특별자치도 강릉시 경강로2267번길 22,37.767183,128.908055
강원특별자치도 강릉시 경강로2291번길 27 (포남동),37.769165,128.910316
강원특별자치도 강릉시 경강로2291번길 35,37.769658,128.909924
강원특별자치도 강릉시 경강로2291번길 35 (포남동),37.769658,128.909924
강원특별자치도 강릉시 경강로2323번길 9,37.769204,128.914529
강원특별자치도 강릉시 경강로2323번길 9(포남동),37.769204,128.914529
강원특별자치도 강릉시 경강로2343번길 4,37.769649,128.917003
강원특별자치도 강릉시 경강로2343번길 6,37.769685,128.916899
강원특별자치도 강릉시 경강로2533번길 2 (견소동),37.774350,128.936823
"강원특별자치도 강릉시 경포로 33-17 1층, 2층",37.772949,128.878505
강원특별자치도 강릉시 경포로 47-7 (지변동),37.772348,128.879198
강원특별자치도 강릉시 경포로15번길 3 (지변동),37.772290,128.875886
강원특별자치도 강릉시 경포로463번길 29,37.803833,128.902734
"강원특별자치도 강릉시 경포로463번길 29, 1층 (안현동)",37.803833,128.902734
강원특별자치도 강릉시 경포로463번길 34,37.804274,128.903590
강원특별자치도 강릉시 공항길 12 (병산동),37.762353,128.937267
강원특별자치도 강릉시 공항길 15,37.762636,128.938072
강원특별자치도 강릉시 공항길 28 (병산동),37.762103,128.939417
강원특별자치도 강릉시 공항길 35,37.762721,128.940146
강원특별자치도 강릉시 공항길 46 (병산동),37.762905,128.941164
강원특별자치도 강릉시 공항길127번길 35-7,37.767004,128.951425
강원특별자치도 강릉시 공항길127번길 42,37.765597,128.952585
강원특별자치도 강릉시 공항길127번길 42 (남항진동),37.765597,128.952585
강원특별자치도 강릉시 공항길127번길 50,37.765212,128.953187
강원특별자치도 강릉시 공항길127번길 52,37.765047,128.953363
강원특별자치도 강릉시 공항길127번길 52 (남항진동),37.765047,128.953363
강원특별자치도 강릉시 공항길127번길 64,37.764221,128.953836
강원특별자치도 강릉시 공항길129번길 25-3 (남항진동),37.765337,128.952334
강원특별자치도 강릉시 공항길129번길 26,37.765275,128.952742
강원특별자치도 강릉시 공항길20번길 16 (병산동),37.761051,128.939390
"강원특별자치도 강릉시 공항길29번길 28-1, 1층 (병산동)",37.764446,128.939960
강원특별자치도 강릉시 공항길29번길 4,37.762556,128.939592
강원특별자치도 강릉시 공항길29번길 7 (병산동),37.762916,128.939079
강원특별자치도 강릉시 공항길29번길 7 1층,37.762916,128.939079
강원특별자치도 강릉시 공항길30번길 16,37.761105,128.939192
강원특별자치도 강릉시 공항길30번길 5 (병산동),37.762067,128.939729
강원특별자치도 강릉시 공항길43번길 1(병산동),37.763119,128.940763
강원특별자치도 강릉시 공항길43번길 8,37.763473,128.941211
강원특별자치도 강릉시 공항길43번길 8 (병산동),37.763473,128.941211
강원특별자치도 강릉시 관솔길 22-10,37.738603,128.868043
강원특별자치도 강릉시 관솔길12번길 27-7,37.738528,128.868300
강원특별자치도 강릉시 교동광장로 11 (유천동),37.764548,128.866097
강원특별자치도 강릉시 교동광장로 110,37.764398,128.876491
강원특별자치도 강릉시 교동광장로 84 (교동),37.764862,128.873763
강원특별자치도 강릉시 교동광장로 88 (교동),37.764796,128.874225
강원특별자치도 강릉시 교동광장로100번길 17-3 (교동),37.766368,128.875646
강원특별자치도 강릉시 교동광장로100번길 8-7 (교동),37.765856,128.876730
강원특별자치도 강릉시 구정면 구정옥봉길 161,37.699622,128.893316
강원특별자치도 강릉시 구정면 구정옥봉길 175,37.698361,128.892845
강원특별자치도 강릉시 구정면 구정중앙로 119,37.710472,128.871554
강원특별자치도 강릉시 구정면 동해고속도로 345,37.722218,128.851114
강원특별자치도 강릉시 구정면 동해고속도로 346,37.722898,128.854339
강원특별자치도 강릉시 구정면 범일로 364,37.721611,128.882353
강원특별자치도 강릉시 구정면 칠성로 13-14,37.693478,128.895334
강원특별자치도 강릉시 구정면 현천길 25,37.696001,128.891964
강원특별자치도 강릉시 구정면 현천길 7 가동,37.696498,128.892027
강원특별자치도 강릉시 구정면 회산로 101,37.724757,128.849173
강원특별자치도 강릉시 구정면 회산로 92,37.723007,128.848523
강원특별자치도 강릉시 궁골길 2,37.731285,128.859381
강원특별자치도 강릉시 궁골길 2 (회산동),37.731285,128.859381
강원특별자치도 강릉시 금성로 21,37.754017,128.898612
강원특별자치도 강릉시 금성로 21(성남동),37.754017,128.898612
"강원특별자치도 강릉시 금성로 21, 1층 10호",37.754017,128.898612
강원특별자치도 강릉시 금성로 58 (금학동),37.752039,128.894968
강원특별자치도 강릉시 금성로 6 (옥천동),37.755182,128.899496
강원특별자치도 강릉시 금성로12번길 6,37.755024,128.898753
강원특별자치도 강릉시 금성로13번길 13-1 (성남동),37.753607,128.899819
강원특별자치도 강릉시 금성로13번길 17,37.753306,128.900143
강원특별자치도 강릉시 금성로13번길 17 (성남동),37.753306,128.900143
강원특별자치도 강릉시 금성로13번길 3-1 (성남동),37.754232,128.899144
강원특별자치도 강릉시 금성로14번길 7,37.754887,128.898340
